AC	GeneName	chr	strand	exonStart	exonEnd	upstreamEE	downstreamES	TCGA-2A-A8VL-01A	TCGA-2A-A8VO-01A	TCGA-2A-A8VT-01A	TCGA-2A-A8VV-01A	TCGA-2A-A8VX-01A	SRR1069209	SRR1069514	SRR1073069	SRR1074410	SRR1075126	SRR3146747	SRR3146769	SRR3146770	SRR3018011	SRR3018014	SRR4306657	SRR4306115	SRR4306118	SRR4306121	SRR4306381
ENSG00000001631.15_3	KRIT1	chr7	-	91874215	91874485	91873463	91874740	1.0	0.6364	1.0	1.0	1.0	1.0	1.0	nan	1.0	1.0	0.8824	1.0	0.8667	1.0	0.9375	1.0	nan	1.0	1.0	0.8621
ENSG00000002016.17_3	RAD52	chr12	-	1035961	1036112	1034691	1036310	0.1304	0.2	0.2727	0.2174	1.0	0.6071	0.2683	0.2308	0.2727	0.5385	0.6471	0.125	0.0	0.0667	0.1186	0.0794	0.3968	0.1538	0.2	0.1186
ENSG00000002919.14_2	SNX11	chr17	+	46188069	46188129	46185200	46189392	0.082	0.1333	0.3258	0.1111	0.0	0.0413	0.1071	0.0	0.074	0.2187	0.1572	0.053	nan	0.0	0.0291	0.1199	nan	0.0	0.2223	0.1453
ENSG00000002933.7_3	TMEM176A	chr7	+	150501449	150501573	150500920	150501914	0.9231	1.0	0.9333	1.0	0.7778	0.9115	0.9458	1.0	0.8947	0.9652	1.0	0.9785	0.9798	1.0	0.8235	0.761	1.0	0.8652	1.0	0.9843
ENSG00000003393.14_3	ALS2	chr2	-	202584708	202584851	202582933	202587765	0.0	0.0	0.0345	0.037	0.0	0.2143	0.25	0.0	0.1538	0.1429	0.0	0.0417	0.0	0.0084	0.0057	0.0505	nan	0.0	0.0566	0.0579
ENSG00000003400.14_3	CASP10	chr2	+	202070604	202070696	202060671	202072797	nan	nan	nan	nan	nan	1.0	1.0	nan	1.0	0.2	nan	nan	nan	1.0	0.8774	nan	nan	1.0	0.0	1.0
ENSG00000003400.14_3	CASP10	chr2	+	202070604	202070696	202068489	202072797	1.0	1.0	0.8	0.0	nan	1.0	0.75	1.0	1.0	0.5	1.0	1.0	1.0	1.0	0.9361	1.0	nan	1.0	nan	1.0
ENSG00000003436.15_2	TFPI	chr2	-	188378342	188378373	188368497	188418926	1.0	0.379	0.1691	0.1324	nan	0.0427	0.0688	0.0	0.0	0.3731	0.082	0.2344	0.1131	0.0	0.2518	0.0988	nan	0.1566	0.0898	0.1034
ENSG00000003436.15_2	TFPI	chr2	-	188394090	188394212	188368497	188418926	1.0	0.5	0.1429	0.1111	1.0	0.3191	0.3256	0.5385	0.2857	0.2941	0.1579	0.1765	0.2057	0.0	0.3191	0.2632	nan	0.3256	0.2844	0.2157
ENSG00000003509.15_2	NDUFAF7	chr2	+	37469777	37469836	37468780	37471005	0.2308	0.6364	0.6471	1.0	0.6364	0.7882	0.9338	1.0	0.6637	0.8664	0.6285	0.7813	1.0	0.0	0.4834	0.5954	nan	0.7036	0.8561	0.655
ENSG00000003509.15_2	NDUFAF7	chr2	+	37469777	37469836	37468934	37471005	0.6923	1.0	0.8919	0.8889	0.5789	0.9312	1.0	0.6285	0.8555	0.903	1.0	1.0	1.0	1.0	0.8527	1.0	nan	1.0	1.0	1.0
ENSG00000003756.16_3	RBM5	chr3	+	50137964	50138038	50137484	50140515	0.5	0.7544	0.6602	0.4493	0.8824	0.2549	0.524	0.3667	0.4543	0.2885	0.6222	0.6696	1.0	0.7276	0.6148	0.9481	1.0	0.9565	1.0	0.9085
ENSG00000003756.16_3	RBM5	chr3	+	50141680	50141741	50140599	50142509	0.9543	0.9407	0.932	0.9054	0.8596	0.9148	0.9419	0.8672	0.883	0.8495	0.6301	0.9145	1.0	0.9036	0.8417	0.6808	1.0	0.8222	0.991	0.9279
ENSG00000003756.16_3	RBM5	chr3	+	50147811	50147896	50147121	50148111	0.9279	0.9873	0.9241	0.9901	0.8629	0.8583	0.9115	0.8828	0.8684	0.8884	0.9459	0.9718	0.9412	0.9645	0.8664	0.915	0.7194	0.92	0.9543	0.9781
ENSG00000003987.13_2	MTMR7	chr8	-	17188658	17188791	17163466	17198871	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
ENSG00000003987.13_2	MTMR7	chr8	-	17198871	17199006	17166835	17206461	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
ENSG00000003989.17_3	SLC7A2	chr8	+	17359765	17359811	17354746	17400826	0.3381	1.0	1.0	0.6052	1.0	0.3846	0.2381	1.0	0.7895	1.0	0.3425	0.0	0.4545	0.3481	0.5397	0.5707	nan	1.0	nan	0.4836
ENSG00000004399.12_3	PLXND1	chr3	-	129304794	129304924	129297276	129308193	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
ENSG00000004455.16_2	AK2	chr1	-	33497144	33497262	33487304	33502336	0.5238	0.8	0.5833	0.7333	0.5	0.8182	0.8667	0.6667	0.5	0.75	nan	nan	nan	0.0	0.0	0.6875	nan	0.2667	nan	0.6667
ENSG00000004455.16_2	AK2	chr1	-	33497144	33497262	33490168	33502336	0.0444	0.041	0.0419	0.0393	0.0191	0.1102	0.1635	0.1158	0.0667	0.0893	0.0291	0.117	0.0162	0.0	0.0067	0.037	0.1329	0.0235	0.0106	0.0253
ENSG00000004468.12_2	CD38	chr4	+	15826503	15826621	15818263	15835839	0.9774	0.9221	1.0	1.0	nan	0.5556	0.8333	1.0	1.0	1.0	nan	1.0	1.0	nan	1.0	nan	1.0	nan	nan	nan
ENSG00000004487.15_3	KDM1A	chr1	+	23370919	23370979	23357127	23376879	0.6235	0.6863	0.5933	0.609	0.5636	0.5335	0.6483	0.3093	0.6371	0.5799	0.3875	0.4903	0.4691	0.5307	0.6401	0.3361	0.7468	0.3569	0.142	0.329
ENSG00000004534.14_3	RBM6	chr3	+	50004630	50006181	50000118	50009491	0.6514	0.7544	0.8411	0.7857	0.4878	0.9083	0.8899	0.7946	0.8083	0.8491	0.9121	0.8974	0.9649	0.8985	0.7301	0.8555	nan	0.7817	0.7639	0.9281
ENSG00000004534.14_3	RBM6	chr3	+	50004630	50006181	50000118	50085677	0.2308	0.2857	0.2698	0.0909	0.1724	0.1729	0.1892	0.2836	0.2813	0.2754	nan	nan	nan	nan	nan	0.2208	nan	nan	nan	nan
ENSG00000004534.14_3	RBM6	chr3	+	50004902	50006181	50000118	50009491	0.75	0.8108	0.9068	0.8435	0.5435	0.938	0.9216	0.8369	0.858	0.8897	0.9223	0.935	0.975	0.9617	0.8121	0.8911	1.0	0.8249	0.8101	0.9427
ENSG00000004534.14_3	RBM6	chr3	+	50004902	50006181	50000118	50085677	0.6341	0.6774	0.785	0.4667	0.3846	0.6784	0.6296	0.5826	0.6892	0.6599	nan	nan	nan	nan	nan	0.6842	nan	nan	nan	nan
ENSG00000004534.14_3	RBM6	chr3	+	50009491	50009581	50000118	50036872	nan	nan	nan	nan	nan	0.7692	1.0	0.7037	0.7419	0.8889	nan	nan	nan	nan	nan	nan	nan	0.7605	0.6922	0.8264
ENSG00000004534.14_3	RBM6	chr3	+	50009491	50009581	50000118	50085677	nan	nan	nan	nan	nan	0.1538	0.1667	0.2836	0.3333	0.2424	0.1538	0.2222	0.1429	0.3021	0.4053	0.2598	nan	0.2374	0.2999	0.0993
ENSG00000004534.14_3	RBM6	chr3	+	50012755	50012825	50000118	50085677	0.3182	0.5	0.4458	0.2308	0.2	0.5852	0.5689	0.5656	0.6414	0.6308	0.5319	0.5585	0.693	0.3262	0.5654	0.5282	1.0	0.5346	0.5989	0.4127
ENSG00000004534.14_3	RBM6	chr3	+	50036872	50036946	50000118	50085677	0.6	0.7561	0.6871	0.5652	0.52	0.6527	0.6186	0.6449	0.7441	0.6328	0.4086	0.7835	0.7525	0.6542	0.7147	0.7074	nan	0.6817	0.7803	0.6174
ENSG00000004534.14_3	RBM6	chr3	+	50036872	50036946	50012825	50085677	0.7846	0.7701	0.7388	0.7949	0.8125	0.5986	0.574	0.5843	0.6366	0.5253	0.3979	0.7387	0.5822	0.7687	0.627	0.6525	0.3731	0.5432	0.5877	0.6638
ENSG00000004660.14_2	CAMKK1	chr17	-	3784920	3784942	3783728	3785821	1.0	1.0	0.912	1.0	0.5802	1.0	1.0	1.0	1.0	1.0	nan	0.9214	nan	0.7431	0.722	0.8684	nan	0.8261	1.0	0.5824
ENSG00000004660.14_2	CAMKK1	chr17	-	3785550	3785664	3784942	3785821	0.0	0.0	0.0769	0.0	0.1429	0.2727	0.1	0.2	0.1795	0.6667	1.0	0.4	nan	0.2	0.1828	0.0714	nan	0.1765	0.0	0.3538
ENSG00000004700.15_3	RECQL	chr12	-	21654103	21654149	21652549	21654346	1.0	1.0	0.9109	1.0	1.0	1.0	1.0	nan	0.5102	nan	1.0	0.9398	0.8491	1.0	1.0	0.9622	nan	0.0	nan	0.9061
ENSG00000004700.15_3	RECQL	chr12	-	21654103	21654149	21652549	21654396	1.0	1.0	0.9019	1.0	1.0	0.6522	0.9184	nan	1.0	nan	0.814	1.0	0.3846	1.0	1.0	0.8863	nan	nan	nan	0.841
ENSG00000004700.15_3	RECQL	chr12	-	21654103	21654306	21652549	21654396	1.0	1.0	0.8947	1.0	1.0	0.6	0.9167	nan	1.0	1.0	0.7778	1.0	0.5	1.0	1.0	0.8929	nan	1.0	1.0	0.871
ENSG00000004864.13_2	SLC25A13	chr7	-	95864113	95864229	95838289	95906507	0.92	1.0	0.9777	1.0	0.8	0.7368	0.7838	0.75	0.9592	1.0	0.9583	1.0	0.9672	1.0	0.8301	0.9302	1.0	1.0	1.0	0.9837
ENSG00000004866.20_3	ST7	chr7	+	116738666	116738869	116593745	116739815	0.0	0.037	0.0588	0.0323	0.1233	0.3077	0.0769	0.1667	0.1724	0.0286	0.2381	0.0323	0.0204	0.0182	0.0	0.097	nan	0.0476	0.0	0.0342
ENSG00000004866.20_3	ST7	chr7	+	116774177	116774246	116772014	116776134	0.1633	0.1923	0.2154	0.2703	0.1224	0.4722	0.8612	0.7024	0.6361	0.4628	0.0871	0.4062	0.2794	0.1131	0.9016	0.3284	nan	0.6732	0.3438	0.1697
ENSG00000004866.20_3	ST7	chr7	+	116830186	116830322	116829447	116830887	0.0465	0.029	0.0325	0.0345	0.0261	0.1899	0.1264	0.0233	0.3462	0.0435	0.1111	0.0872	0.013	0.0	0.0	0.0412	1.0	0.1739	0.0933	0.0638
ENSG00000004897.11_3	CDC27	chr17	-	45247282	45247408	45235669	45258927	0.7143	1.0	0.9375	0.8824	1.0	0.6	0.875	1.0	1.0	1.0	1.0	1.0	0.9167	1.0	1.0	0.8772	nan	0.8788	1.0	0.9524
ENSG00000004897.11_3	CDC27	chr17	-	45249282	45249430	45235669	45258927	0.7778	1.0	0.9459	0.9048	1.0	0.6471	0.8182	1.0	1.0	1.0	1.0	1.0	0.8889	1.0	1.0	0.8935	nan	0.7778	1.0	0.9387
ENSG00000004897.11_3	CDC27	chr17	-	45249282	45249430	45247408	45258927	1.0	1.0	0.9556	0.9429	1.0	1.0	1.0	1.0	0.9556	1.0	1.0	0.8462	0.9091	1.0	1.0	0.9463	nan	1.0	1.0	0.9455
ENSG00000005100.12_3	DHX33	chr17	-	5366848	5367009	5365866	5371890	1.0	1.0	0.8824	1.0	1.0	0.8333	0.8667	0.7143	1.0	0.7143	0.8	0.6	0.6667	0.8706	0.8391	0.7027	nan	0.44	0.4615	0.7333
ENSG00000005102.12_2	MEOX1	chr17	-	41720855	41721028	41719400	41738433	1.0	1.0	1.0	1.0	1.0	nan	1.0	1.0	1.0	1.0	nan	nan	nan	nan	0.8571	1.0	nan	1.0	1.0	1.0
ENSG00000005108.15_3	THSD7A	chr7	-	11416196	11416284	11415505	11418696	1.0	1.0	1.0	0.9574	1.0	1.0	1.0	1.0	1.0	0.8182	1.0	1.0	0.1429	1.0	0.9934	0.7615	nan	0.0	1.0	nan
ENSG00000005108.15_3	THSD7A	chr7	-	11419256	11419339	11416284	11422147	1.0	1.0	1.0	1.0	nan	1.0	1.0	nan	1.0	1.0	nan	nan	1.0	1.0	1.0	1.0	nan	nan	1.0	nan
ENSG00000005175.9_3	RPAP3	chr12	-	48073275	48073377	48064128	48073486	1.0	0.9574	1.0	0.9245	0.8209	0.7692	0.9333	1.0	0.9216	0.8113	1.0	0.9167	1.0	1.0	0.9545	0.7914	1.0	0.9365	0.7692	0.9011
ENSG00000005187.11_3	ACSM3	chr16	+	20791118	20791229	20788902	20792035	0.1268	0.1318	0.1429	0.1122	0.1494	0.2093	0.1429	0.0968	0.2414	0.1818	0.0	0.0	0.1193	0.0852	0.025	0.2308	nan	0.1619	0.0	0.2308
ENSG00000005187.11_3	ACSM3	chr16	+	20791118	20791229	20788902	20792295	1.0	1.0	0.5	0.8	1.0	nan	nan	nan	nan	nan	nan	nan	nan	0.6571	0.2	0.3333	nan	1.0	nan	1.0
ENSG00000005189.19_2	AC004381.6	chr16	+	20835760	20835849	20833224	20837154	0.9	0.8571	0.6923	0.8261	0.9333	1.0	0.7143	0.7333	0.8333	0.6667	1.0	0.4286	1.0	0.2101	0.3415	0.7781	nan	0.5538	1.0	0.8481
ENSG00000005189.19_2	AC004381.6	chr16	+	20855255	20855348	20851790	20855950	0.8966	0.6774	0.8065	0.8214	0.7818	0.7	0.6	0.4286	0.6538	0.6429	nan	0.6552	1.0	0.5102	0.5525	0.6773	0.0	0.766	0.4717	0.7613
ENSG00000005194.14_3	CIAPIN1	chr16	-	57465062	57465178	57464251	57466398	0.8978	0.9685	0.9581	0.9231	0.9828	0.9301	0.9664	0.9259	0.9281	0.8519	0.8431	0.9492	1.0	0.8981	1.0	0.9663	1.0	0.7935	1.0	0.941
ENSG00000005243.9_3	COPZ2	chr17	-	46105041	46105155	46103841	46105837	0.4091	0.1186	0.3939	0.1313	0.1642	0.1185	0.1063	0.3054	0.3103	0.1496	0.5	0.4	0.6296	0.3884	0.0092	0.12	1.0	0.161	0.0286	0.28
ENSG00000005243.9_3	COPZ2	chr17	-	46105041	46105155	46103841	46106490	1.0	1.0	1.0	0.7143	1.0	0.8095	0.7273	0.8261	0.8889	0.5556	nan	nan	nan	0.913	0.1429	0.5	1.0	0.8667	nan	1.0
ENSG00000005243.9_3	COPZ2	chr17	-	46109521	46109599	46106542	46111228	0.8873	1.0	0.9167	0.8841	0.9	0.8347	0.8136	0.9063	0.9496	1.0	1.0	1.0	1.0	0.9509	1.0	0.8182	0.0535	0.8421	0.8975	0.8841
ENSG00000005243.9_3	COPZ2	chr17	-	46110051	46110107	46106542	46111228	0.3846	nan	0.6	0.1111	0.75	0.2571	0.328	0.0	0.5357	nan	nan	1.0	nan	0.4464	1.0	0.0	0.0	0.2663	0.0	0.3922
ENSG00000005243.9_3	COPZ2	chr17	-	46110576	46110668	46106542	46111228	0.873	1.0	0.92	0.8841	0.9394	0.8058	0.7174	0.9077	0.9333	1.0	1.0	1.0	1.0	0.9148	1.0	0.7765	0.0	0.6835	0.7659	0.8719
ENSG00000005339.14_3	CREBBP	chr16	-	3827613	3827658	3824694	3828011	0.6738	0.6503	0.664	0.9307	0.6738	0.8912	0.8982	0.9098	0.7231	0.6117	0.8427	0.6541	1.0	0.7085	0.843	0.7525	nan	0.6874	0.8811	0.9511
ENSG00000005379.15_3	TSPOAP1	chr17	-	56381698	56381760	56379808	56382421	0.5	0.6129	0.5929	0.7	0.5238	0.7395	0.5027	0.568	0.5616	0.5627	0.7128	0.5245	0.6026	0.3719	0.9146	0.3466	1.0	0.5014	0.4789	0.8483
ENSG00000005379.15_3	TSPOAP1	chr17	-	56381971	56382084	56379808	56382421	0.1064	0.1429	0.0417	0.0	0.0244	0.0769	0.0137	0.037	0.0313	0.0286	0.0	0.1111	0.0	0.0549	0.0	0.0	nan	0.0233	0.0395	0.0
ENSG00000005379.15_3	TSPOAP1	chr17	-	56381971	56382084	56381760	56382421	0.0943	0.3333	0.038	0.0	0.0213	0.0471	0.0238	0.0698	0.0549	0.056	0.0	0.0769	0.0	0.1264	0.0407	0.0	nan	0.0345	0.0899	0.0
ENSG00000005379.15_3	TSPOAP1	chr17	-	56397469	56397490	56396655	56397891	0.6208	1.0	0.8488	0.808	1.0	0.6911	0.6122	1.0	0.6545	0.7031	0.283	nan	1.0	0.6338	1.0	0.6246	nan	1.0	1.0	0.8824
ENSG00000005421.8_2	PON1	chr7	-	94944633	94944802	94937523	94946045	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.0	1.0	nan	nan	nan	nan	nan	nan	nan
ENSG00000005436.13_3	GCFC2	chr2	-	75900569	75900646	75893179	75914952	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
ENSG00000005436.13_3	GCFC2	chr2	-	75907318	75907440	75900646	75914952	0.88	0.9241	0.9612	0.9016	0.8451	0.9753	0.9048	0.9355	0.9467	0.8765	1.0	0.8113	0.7674	0.9259	0.8435	0.974	1.0	1.0	0.7701	0.9828
ENSG00000005436.13_3	GCFC2	chr2	-	75919102	75919226	75917845	75921366	0.863	0.8333	1.0	0.9104	0.8889	1.0	1.0	0.4783	0.7736	0.7879	0.8462	0.8421	1.0	1.0	0.9167	0.9643	1.0	1.0	1.0	0.7941
ENSG00000005436.13_3	GCFC2	chr2	-	75929438	75929549	75928413	75933648	0.875	1.0	0.9429	1.0	0.8571	1.0	0.9048	1.0	0.8095	0.9474	1.0	0.9	0.7333	0.5319	1.0	0.9286	1.0	1.0	1.0	0.7833
ENSG00000005448.16_2	WDR54	chr2	+	74649246	74649502	74648943	74649996	0.8462	1.0	0.9574	0.9286	0.7391	0.9444	0.7143	1.0	0.6	0.7143	1.0	0.9467	1.0	1.0	0.68	0.8652	nan	1.0	1.0	0.6762
ENSG00000005448.16_2	WDR54	chr2	+	74649279	74649502	74648943	74649996	0.8947	1.0	0.9688	0.9592	0.8286	0.963	0.7895	1.0	0.8182	0.7931	1.0	0.9646	1.0	1.0	0.8298	0.954	1.0	1.0	1.0	0.8417
ENSG00000005483.20_3	KMT2E	chr7	+	104678572	104678646	104654982	104681285	0.3043	0.2632	0.2143	0.3846	0.4	0.4668	0.1631	0.6696	0.3072	0.3363	0.0307	0.092	0.0267	0.0479	0.1946	0.3293	0.0	0.0426	0.1453	0.086
ENSG00000005483.20_3	KMT2E	chr7	+	104678831	104678972	104678646	104681285	0.2	0.0	0.0943	0.0	0.0	0.1667	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0168	0.04	nan	0.3333	0.0	0.04
ENSG00000005486.16_2	RHBDD2	chr7	+	75510682	75510804	75508578	75511146	0.1677	0.3614	0.0964	0.2176	0.19	0.417	0.4661	0.552	0.343	0.3431	0.1667	0.2727	0.3333	0.0845	0.3109	0.1662	0.0	0.4506	0.41	0.2701
ENSG00000005801.16_3	ZNF195	chr11	-	3381949	3382018	3381795	3382972	0.2727	0.04	0.1282	0.3846	0.5556	0.1237	0.2502	0.0747	0.2725	0.2469	0.0	0.0871	0.0	0.2841	0.2294	0.1229	0.0	0.1314	0.5129	0.1708
ENSG00000005801.16_3	ZNF195	chr11	-	3381949	3382018	3381795	3392204	0.1515	0.1111	0.0588	0.0423	0.4	0.5119	0.5119	0.0	0.1644	0.1488	0.0	0.0949	0.0	0.0408	0.0208	0.1709	nan	1.0	0.5981	0.0886
ENSG00000005801.16_3	ZNF195	chr11	-	3382972	3383119	3381795	3383775	1.0	1.0	0.5625	0.4	1.0	1.0	1.0	0.6842	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9412	1.0	1.0	1.0	1.0
ENSG00000005801.16_3	ZNF195	chr11	-	3382972	3383119	3381795	3392172	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ENSG00000005801.16_3	ZNF195	chr11	-	3382972	3383119	3381795	3392204	0.3	0.7037	0.2523	0.1053	0.5	0.8235	0.8095	0.8667	0.3846	0.625	0.7143	0.403	0.6667	0.2632	0.0894	0.6541	1.0	1.0	0.6129	0.2847
ENSG00000005801.16_3	ZNF195	chr11	-	3382972	3383119	3382018	3392204	0.75	1.0	0.75	1.0	0.875	1.0	1.0	1.0	1.0	1.0	1.0	0.75	1.0	1.0	1.0	1.0	nan	1.0	1.0	0.8824
ENSG00000005801.16_3	ZNF195	chr11	-	3383775	3383832	3383119	3392204	0.2727	0.2222	0.375	0.1111	0.1429	0.2226	0.0	nan	0.2762	0.0	0.0	0.0	0.3641	0.0742	0.0	0.2304	nan	0.6158	0.0	0.2566
ENSG00000005801.16_3	ZNF195	chr11	-	3394806	3394886	3392933	3398846	0.8	1.0	0.9	0.8333	0.6667	0.5	0.7143	1.0	1.0	1.0	nan	1.0	nan	0.8571	0.8324	0.7355	nan	nan	1.0	0.9179
ENSG00000005801.16_3	ZNF195	chr11	-	3394806	3394886	3392933	3400267	0.2121	0.2857	0.3151	0.2766	0.2	0.25	0.2143	0.0	0.2941	0.2727	0.0	0.2143	0.0769	0.6228	0.3144	0.2517	nan	0.0	0.3368	0.2213
ENSG00000005801.16_3	ZNF195	chr11	-	3394806	3394905	3392933	3400267	0.1875	0.2308	0.2424	0.1905	0.1579	0.25	0.1538	0.0	0.2258	0.0	0.0	0.12	0.0	0.534	0.2339	0.1895	nan	0.0	0.3147	0.1505
ENSG00000005801.16_3	ZNF195	chr11	-	3398846	3399032	3392933	3400267	0.037	0.0476	0.0566	0.0286	0.0588	0.1429	0.12	0.0	0.0	0.1111	0.0	0.0	0.0	0.1242	0.0325	0.0444	nan	0.0	0.0	0.0087
ENSG00000005810.17_1	MYCBP2	chr13	-	77692474	77692654	77673148	77695507	0.2	0.4	0.2113	0.3333	0.1429	0.2727	0.1	0.0	0.2593	0.3333	0.2222	0.5	0.3333	0.1212	0.1152	0.4839	nan	nan	nan	0.4286
ENSG00000005810.17_1	MYCBP2	chr13	-	77700452	77700677	77699603	77713330	1.0	1.0	1.0	1.0	0.3333	1.0	1.0	1.0	0.8462	0.8333	0.7333	1.0	0.6	0.5417	0.9081	0.8667	nan	1.0	1.0	0.8391
ENSG00000005810.17_1	MYCBP2	chr13	-	77703290	77703365	77700677	77713330	0.3333	0.0	0.0625	0.0	0.0	0.0	0.2011	0.0	0.37	0.0	0.0838	0.2741	0.1588	0.1773	0.0753	0.1483	nan	0.6329	0.0	0.0824
